otype;idckkp;name;desc;mdesc;gtype;wh;ph;kkp;wikidata;wikipedia;published;x_wgs84;y_wgs84;wkt_2180
K1.20;OP00059;Mury miejskie w Byczynie;Ciąg murów miejskich wokół Starego Miasta w Byczynie, wzniesionych z cegły w XIII wieku. ;;line;no;no;yes;brak;pl:Mury obronne w Byczynie;2024-10-14;18.2146361;51.115086299999994;Point (445044.63441754947416484 361216.76880231220275164)
K1.20;ZP00705;Most Kłosowski w Wałczu;Most wiszący o konstrukcji stalowej, długości 85 m wybudowany został w 1978 roku w miejscu wcześniejszego mostka drewnianego. Mostem tym można dojść do umocnień Wału Pomorskiego;Zmieniono nazwę na poprawną;line;no;no;yes;Q11785795;pl:Most Kłosowski;2024-10-14;16.4307331;53.26429869999999;Point (328698.05398693692404777 602979.92281894572079182)
S3.10;DS00887;Ścieżka przyrodnicza na Górę Chojnik;Ścieżka na 21 stacjach, opis budowy geologicznej i morfologii oraz roślinności.;;line;no;no;yes;brak;brak;2024-10-14;15.642982602230498;50.84678779170618;Point (263762.74974809587001801 336466.31636993400752544)
K1.20;LD00359;Ulica Piotrkowska na odcinku od pl. Wolności do Al. Mickiewicza w Łodzi;Reprezentacyjna ulica Łodzi, jedna z najdłuższych ulic handlowych na kontynencie licząca ok. 4,2 km, biegnąca południkowo w linii prostej, pomiędzy pl. Wolności a pl. Niepodległości. Od 1990 r. zamieniona w rodzaj deptaka, który pełni rolę podobną do rynku starówki innych miast.;;line;no;no;yes;Q1095484;pl:Ulica Piotrkowska w Łodzi;2024-10-14;19.458482436730613;51.75952413814717;Point (531633.86761630501132458 432670.785667241550982)
S3.10;PD00642;Szlak Dębów Królewskich;Ścieżka biegnie przez uroczysko Stara Białowieża, wśród dębów liczących 150-500 lat. Poszczególne drzewa noszą imiona królów i książąt, którzy niegdyś polowali w tym lesie.;;line;no;no;yes;brak;brak;2024-10-14;23.789774536321815;52.731076058350084;Point (823239.69493887270800769 551365.20547011680901051)
S3.10;PM00643;Szlak Struga Siedmiu Jezior (Klosnowo-Bachorze);Szlak prowadzi wzdłuż rzeki, łącząc osiem jezior rynnowych o najwyższej klasie czystości: Ostrowite, Zielone, Jeleń, Bełczak, Główka, Płęsno, Skrzynka i Mielnica.;;line;no;no;yes;brak;brak;2024-10-14;17.5590585;53.69533739999999;Point (404890.16857390466611832 648803.91052038036286831)
S3.10;PD00651;Ścieżka edukacyjna „Czerwone Bagno”;Zielono znakowana ścieżka dydaktyczna prowadząca przez obszar ochrony ścisłej Czerwone Bagno w Biebrzańskim Parku Narodowym. Długość 1 km.;;line;no;no;yes;brak;pl:Ścieżka przyrodnicza Czerwone Bagno;2024-10-14;22.822833408348565;53.620750001333526;Point (752725.61840000003576279 646336.57829999923706055)
S3.10;PD00652;Ścieżka edukacyjna „Grobla Honczarowska”;Zielono znakowana ścieżka dydaktyczna w Biebrzańskim Parku Narodowym.;;line;no;no;yes;Q127700722;pl:Ścieżka przyrodnicza Grobla Honczarowska;2024-10-14;22.6023668907262;53.314434084232055;Point (739878.93540000007487833 611527.50439999904483557)
S3.10;PD00653;Ścieżka edukacyjna „Waniewo-Śliwno”;Ścieżka przyrodnicza o długości 1,2 km prowadząca drewnianą kładką z jednej strony doliny na drugą. Biegnie przez niedostępny, bagienny teren, dzięki czemu można dotrzeć do serca parku bez konieczności korzystania z łodzi czy kajaka. Największą atrakcją są przeprawy przez licznie występujące tu koryta rzeczne za pomocą pływających pomostów. Przy kładce zlokalizowane są 2 dostrzegalnie ornitologiczne i wieża widokowa.;;line;no;no;yes;brak;brak;2024-10-14;22.818810695068557;53.07691056318024;Point (755696.731091812485829 585877.86472725309431553)
S3.10;LB00654;Ścieżka przyrodnicza „Ptasim Szlakiem”;Ścieżka przyrodnicza „Ptasim szlakiem” o długości około 2 km, prowadzi przez jedne z najbardziej atrakcyjnych w parku terenów lęgowych ptaków. Najlepszym terminem korzystania ze ścieżki jest wiosna i jesień. Turyście na ścieżce przyda się: lornetka, luneta i atlas ptaków.;;line;no;no;yes;brak;brak;2024-10-14;14.774457200000002;52.584357;Point (213860.30049110850086436 532673.81670151744037867)
S3.10;LU00655;Ścieżka przyrodnicza na „Bukową Górę”;Ścieżka poświęcona niezwykłej różnorodności przyrodniczej, wynikającej ze zmiany żyzności siedlisk od boru sosnowego przez bór jodłowy do żyznej buczyny. ;;line;no;no;yes;brak;brak;2024-10-14;22.968182;50.60560400000001;Point (780671.83433390781283379 311802.11847169604152441)
P.3.00;DS00699;Urwisko Batorowskie;Krawędź skalna z piaskowca położona na terenie Parku Narodowego Gór Stołowych. Ciągnie się na długości około 4 km.;;line;no;no;yes;Q9367245;pl:Urwisko Batorowskie;2024-10-14;16.433801880186685;50.4306859434492;Point (317802.40469689015299082 287987.68271744064986706)
P1.20;ZP00881;Brzeg klifowy w Trzęsaczu;Brzeg mierzy ok. 20 m wysokości i rozciąga się na długości całej plaży. Największą atrakcją związaną z klifem są ruiny kościoła pochodzące z XIII wieku. Na jego szczycie znajdują się punkty widokowe.;;line;no;no;yes;;;2024-10-14;14.981531244454734;54.0744953730096;Point (237207.75234024995006621 697479.5880339378491044)
K1.20;PM00128;Droga Królewska – ciąg ulic Długiej i Długi Targ;Nieoficjalna nazwa, określająca główną trasę turystyczną w Gdańsku od Bramy Wyżynnej i zespołu przedbramia, przez ulicę Długą na Długi Targ. Nazwa ta ma podobno nawiązywać do uroczystych wjazdów monarchów do miasta, zapoczątkowanych w 1457r. przez Kazimierza Jagiellończyka.;W CKKP oznaczono ciąg komunikacyjny z przebiegiem traktu królewskiego.;line;no;no;yes;Q9210861;pl:Droga Królewska (Gdańsk);2024-10-14;18.646645737075136;54.34992464342325;Point (477039.41431699087843299 720705.65803321730345488)
K1.20;PD00520;Wigierska Kolejka Wąskotorowa;Wąskotorowa kolejka turystyczna o długości 10 km, biegnąca wzdłuż południowego brzegu jeziora Wigry na Suwalszczyźnie, między miejscowościami Płociczno i Krusznik. Kolejka jest cennym zabytkiem techniki oraz jedną z całorocznych atrakcji turystycznych regionu.;;line;no;no;yes;Q9373901;pl:Wigierska Kolej Wąskotorowa;2024-10-14;22.981595474098036;54.02274329858333;Point (760706.19428893772419542 691591.15468308143317699)
P1.30;MA00547;Przełom Dunajca;Przełom rzeki Dunajec przez pasmo górskie Pienin (Pieniny Właściwe) na długości ok. 8 km pomiędzy Sromowcami Niżnymi a Szczawnicą. Rzeka tworzy na tym odcinku wiele zakoli, a ściany skalne osiągają ok. 300 m wysokości. Spływ Pienińskim Przełomem jest atrakcją na skalę europejską.;;line;no;no;yes;Q5314051;pl:Pieniński Przełom Dunajca;2024-10-14;20.4147097;49.3987706;Point (602614.45872956223320216 171106.51368965487927198)
P1.30;PK00548;Przełom Wisłoki;Przełom rzeki na odcinku pomiędzy przysiółkiem Ostryszne, a wsią Myscowa, pomiędzy stromymi, zalesionymi zboczami Kamienia (714 m n.p.m.) i Suchani (580 m n.p.m.).;;line;no;no;yes;brak;brak;2024-10-14;21.538041;49.50529749999999;Point (683689.06707230547908694 185078.88668453972786665)
P2.00;WN00229;Kanał Elbląski;Żeglowna droga wodna na terenie województwa warmińsko-mazurskiego. Jeden z siedmiu cudów Polski.;;line;no;yes;yes;Q5637;pl:Kanał Elbląski;2024-10-14;19.7008776;53.7605512;Point (546191.2391298086149618 655321.1005567405372858)
K1.20;MZ00915;Trakt Królewski w Warszawie;Dawniej szlak komunikacyjny prowadzący ze Starego Miasta w Warszawie w kierunku południowym. Współcześnie ciąg ulic, przy którym znajduje się wiele zabytkowych budowli. Trakt Królewski zaczyna się na placu Zamkowym i biegnie ulicami: Krakowskim Przedmieściem, Nowym Światem, Alejami Ujazdowskimi, Belwederską i Sobieskiego do Wilanowa.;;line;no;yes;no;Q48652;pl:Trakt Królewski w Warszawie;2024-10-14;21.013467312324018;52.247363449884354;Point (637414.14129161601886153 488723.38006908539682627)
K1.20;ZP00828;Mury miejskie w Pyrzycach;Mury obronne z 2. połowy XIII wieku, długości ok. 2000 metrów. W XV w. ich wysokość podwyższono do 7-9 m, rozbudowano przedbramia, baszty i czatownie.;;line;no;no;yes;Q219093;pl:Pyrzyce;2024-10-14;14.8923365;53.1454033;Point (225408.61981027561705559 594560.23582488298416138)
K1.30;WP00854;Średniowieczne mury obronne miasta w Stargardzie;Zespół fortyfikacji otaczających najstarsze części Stargardu. Ich budowę rozpoczęto po otrzymaniu praw miejskich (1243 r.), zachowana do dziś długość obwarowań wynosi ponad kilometr. ;;line;no;yes;no;Q11786741;pl:Mury obronne w Stargardzie;2024-10-14;15.040662445847587;53.33937912764358;Point (236514.91579222190193832 615559.0188816012814641)
